Rk,Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC_x,PrgP_x,PrgR_x,Gls.1,Ast.1,xG.1,xAG.1,GA90,Save%,CS%,Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Cmp%.1,Cmp%.2,Cmp%.3,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,PrgDist,PrgC_y,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
418,Aaron Ramsdale,eng ENG,Southampton,GK,26-345,25,25,2250.0,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.32,67.7,8.0,67.7,N/a,0.00,N/a,N/a,675,65.3,18762,99.5,95.9,39.5,0,32,1,0,0,3,0.12,0,0.00,0,0,2,2,0,0,0,2,1111,803,1094,20,0,0,0,N/a,N/a,687,2044,0,0,0,2,0,621,0,1,4,0,0,18,4,0,100.0
536,Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-149,31,30,2704.0,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,118,75,2.50,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,3193,93,54,12,28,20,1090,131,22,23,4,61,153,22,28,44.0
112,Aaron Cresswell,eng ENG,West Ham,DF,35-130,14,7,589.0,0,0,2,0,0.1,1.1,4,24,2,0.00,0.00,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,355,80.7,6769,90.8,85.9,54.9,7,40,4,1,24,12,1.83,0,0.00,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,388,4,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8
145,Abdoulaye Doucouré,ml MLI,Everton,MF,32-113,29,28,2335.0,3,1,5,1,3.7,2.3,38,74,88,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,32.1,0.35,0.11,13.9,657,79.8,9948,84.9,83.2,74.1,26,43,14,0,74,53,2.04,2,0.08,42,25,33,21,29,6,23,9,1055,31,213,481,376,56,41,56.1,43.9,559,1301,38,22,8,32,34,680,88,46,5,9,22,134,29,40,42.0
278,Abdukodir Khusanov,uz UZB,Manchester City,DF,21-054,6,6,503.0,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.00,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
174,Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-047,11,6,579.0,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
33,Adam Armstrong,eng ENG,Southampton,"FW,MF",28-073,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
472,Adam Smith,eng ENG,Bournemouth,DF,33-360,21,16,1319.0,0,0,5,0,0.7,0.2,12,39,31,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,415,75.7,6761,87.7,78.8,35.3,6,39,6,3,39,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,12,15,0,10,6,320,31,13,10,0,28,40,12,12,50.0
292,Adam Lallana,eng ENG,Southampton,MF,36-349,14,5,361.0,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.50,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
546,Adam Wharton,eng ENG,Crystal Palace,MF,20-326,19,15,1258.0,0,2,2,0,0.4,3.1,14,105,10,0.00,0.14,0.03,0.22,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.5,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,199,10,10,20.0,80.0,412,1019,14,22,2,14,13,510,10,12,21,0,35,96,7,16,30.4
