Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-110,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-354,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-069,1999,17.0,6,0,0,40,18,0,3,29,45,0,1,0,91,29,15,65.9,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-212,1997,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-113,2002,9.2,0,0,0,9,2,2,32,7,9,0,0,0,36,4,2,66.7,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-311,1997,10.7,2,0,0,5,4,1,1,9,15,0,0,0,55,20,14,58.8,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-208,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-198,1996,28.5,2,0,0,21,32,2,42,30,40,0,1,0,160,12,18,40.0,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-322,2001,30.0,7,1,1,28,34,5,76,22,50,0,0,0,130,18,26,40.9,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-007,1998,15.4,4,0,0,11,6,1,14,12,16,0,0,0,41,27,22,55.1,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-279,1995,19.0,3,0,0,16,9,0,11,7,10,0,0,0,86,24,29,45.3,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-065,1995,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-145,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
