Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-110,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-354,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-069,1999,17.0,674,811,83.1,10605,2528,328,372,88.2,291,331,87.9,29,51,56.9,3,0.8,0.5,+2.2,14,52,2,1,61,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-212,1997,13.7,988,1081,91.4,18105,6479,374,391,95.7,554,584,94.9,58,95,61.1,1,0.2,0.2,+0.8,1,53,1,0,37,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-113,2002,9.2,218,292,74.7,3176,683,134,156,85.9,65,87,74.7,13,25,52.0,1,1.7,2.3,-0.7,12,5,12,5,14,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-311,1997,10.7,509,609,83.6,10404,3762,165,182,90.7,271,296,91.6,69,116,59.5,0,0.1,0.1,-0.1,2,21,1,0,20,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-208,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-198,1996,28.5,839,1145,73.3,12948,5391,446,506,88.1,308,423,72.8,52,144,36.1,1,0.7,1.5,+0.3,11,78,15,7,91,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-322,2001,30.0,1226,1458,84.1,16904,5119,755,808,93.4,371,426,87.1,42,102,41.2,6,4.4,3.3,+1.6,35,65,25,7,96,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-007,1998,15.4,482,616,78.2,7521,2707,250,288,86.8,189,237,79.7,26,53,49.1,0,1.2,0.5,-1.2,8,41,7,4,52,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-279,1995,19.0,1395,1486,93.9,22867,6253,671,700,95.9,642,672,95.5,68,92,73.9,0,0.4,1.1,-0.4,9,150,11,2,135,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-065,1995,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-145,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-145,2002,5.0,131,174,75.3,2262,648,58,69,84.1,57,67,85.1,11,21,52.4,1,1.1,0.4,-0.1,9,10,13,1,24,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-199,1998,24.1,1325,1799,73.7,25464,10467,579,644,89.9,537,707,76.0,186,373,49.9,6,6.7,6.7,-0.7,50,189,62,20,204,Matches
16,Alisson,br BRA,GK,Liverpool,32-204,1992,22.9,590,716,82.4,13140,8631,178,180,98.9,309,314,98.4,102,218,46.8,0,0.6,0.2,-0.6,1,10,0,0,0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-073,1994,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-182,1997,18.1,763,890,85.7,12894,3657,372,419,88.8,322,359,89.7,61,83,73.5,1,0.8,0.8,+0.2,11,80,11,3,75,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-080,2005,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-039,2007,1.8,77,93,82.8,906,172,53,58,91.4,19,25,76.0,1,4,25.0,0,0.0,0.0,0.0,1,3,0,0,4,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-280,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-096,2006,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-328,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-328,1996,23.7,1363,1653,82.5,30371,12479,366,398,92.0,754,808,93.3,234,422,55.5,0,0.3,0.4,-0.3,3,161,5,2,100,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-169,2002,25.7,863,1109,77.8,13736,4717,457,513,89.1,313,391,80.1,62,132,47.0,6,3.1,3.2,+2.9,34,90,17,2,115,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,André,br BRA,MF,Wolves,23-282,2001,23.2,1026,1106,92.8,16152,4546,522,548,95.3,403,423,95.3,61,77,79.2,0,0.7,0.5,-0.7,13,95,4,0,90,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-027,1990,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-059,2000,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-254,2001,4.0,143,181,79.0,2451,767,68,76,89.5,65,77,84.4,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-277,2001,14.8,184,226,81.4,2410,337,117,136,86.0,51,56,91.1,5,9,55.6,0,0.4,0.6,-0.4,3,6,7,0,14,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-056,1993,21.1,583,833,70.0,15548,10598,125,126,99.2,283,298,95.0,172,399,43.1,0,0.0,0.0,0.0,0,7,0,0,0,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-277,1996,21.2,878,992,88.5,13041,2506,480,526,91.3,341,375,90.9,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,71,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-073,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-095,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-203,1994,26.0,618,861,71.8,17014,11673,96,98,98.0,318,324,98.1,203,432,47.0,0,0.0,0.0,0.0,1,8,0,0,2,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-093,1996,5.3,171,213,80.3,2407,709,100,111,90.1,58,69,84.1,5,17,29.4,1,0.8,0.8,+0.2,12,14,8,2,31,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-106,1999,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-255,1997,4.2,59,91,64.8,688,157,40,55,72.7,14,25,56.0,1,5,20.0,0,0.1,0.1,-0.1,2,5,2,0,7,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-200,2003,18.3,662,816,81.1,9971,2737,387,421,91.9,227,269,84.4,32,84,38.1,1,2.1,2.3,-1.1,26,45,17,4,65,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-225,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
