Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-110,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,18-354,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-069,1999,17.0,1041,46,270,601,182,15,1041,16,3,18.8,9,56.3,491,2318,1059,12,17,1,25,9,555,7,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-212,1997,13.7,1198,160,570,603,26,13,1198,5,4,80.0,0,0.0,713,2950,1690,5,2,0,3,0,916,1,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-113,2002,9.2,427,6,57,131,244,56,427,44,18,40.9,26,59.1,282,1823,843,30,17,14,31,9,298,105,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-311,1997,10.7,734,118,400,321,19,3,734,10,7,70.0,2,20.0,441,2120,931,2,3,0,3,3,467,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-208,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-198,1996,28.5,1462,138,539,610,338,21,1462,64,29,45.3,24,37.5,629,4026,2328,54,35,10,39,21,691,52,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-322,2001,30.0,1813,85,500,772,564,75,1813,104,50,48.1,40,38.5,943,5151,2642,70,53,22,39,39,1095,150,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-007,1998,15.4,762,51,255,355,158,35,762,16,7,43.8,8,50.0,373,2035,1164,27,11,2,15,12,475,42,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-279,1995,19.0,1598,108,472,776,352,11,1598,2,2,100.0,0,0.0,1044,5506,3286,38,52,0,4,5,1264,6,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-065,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-145,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-145,2002,5.0,238,10,42,98,104,13,238,11,7,63.6,3,27.3,128,792,433,11,14,1,10,8,151,9,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-199,1998,24.1,2059,82,549,913,611,40,2059,29,13,44.8,14,48.3,1083,5031,2686,48,35,8,19,15,1307,87,Matches
16,Alisson,br BRA,GK,Liverpool,32-204,1992,22.9,758,551,743,15,0,0,758,1,1,100.0,0,0.0,484,1928,1136,0,0,0,1,0,454,0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-073,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-182,1997,18.1,1101,61,323,612,174,12,1101,31,14,45.2,12,38.7,603,3371,1528,21,20,2,25,13,734,18,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-080,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-039,2007,1.8,121,7,39,37,46,2,121,3,2,66.7,1,33.3,61,307,178,5,4,1,6,4,64,12,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-280,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-096,2006,0.1,9,1,2,4,3,0,9,0,0,,0,,7,25,5,0,1,0,0,1,6,0,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-328,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-328,1996,23.7,1916,279,1006,848,72,15,1916,6,4,66.7,0,0.0,1119,5198,2596,13,9,1,4,3,1327,1,Matches
