Player,Nation,Squad,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC_x,PrgP_x,PrgR_x,Gls.1,Ast.1,xG.1,xAG.1,GA90,Save%,CS%,Save%.1,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Cmp%.1,Cmp%.2,Cmp%.3,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,PrgDist,PrgC_y,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,Cluster
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-141,31,30,2704.0,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,118,75,2.5,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,3193,93,54,12,28,20,1090,131,22,23,4,61,153,22,28,44.0,1
Aaron Ramsdale,eng ENG,Southampton,GK,26-337,24,24,2160.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.37,67.5,8.3,67.5,N/a,0.0,N/a,N/a,655,65.5,18107,100.0,95.8,39.4,0,30,1,0,0,2,0.08,0,0.0,0,0,2,2,0,0,0,2,1076,783,1064,14,0,0,0,N/a,N/a,668,1960,0,0,0,2,0,606,0,1,3,0,0,17,4,0,100.0,0
Aaron Cresswell,eng ENG,West Ham,DF,35-122,14,7,589.0,0,0,2,0,0.1,1.1,4,24,2,0.0,0.0,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.0,0.00,29.8,355,80.7,6769,90.8,85.9,54.9,7,40,4,1,24,12,1.83,0,0.0,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,388,4,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8,3
Abdoulaye Doucouré,ml MLI,Everton,MF,32-105,28,27,2245.0,3,1,5,1,3.6,2.3,36,70,87,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,30.8,0.32,0.12,13.9,637,79.7,9630,85.1,82.7,73.1,26,41,13,0,70,50,2.0,2,0.08,42,25,33,21,29,6,23,7,1023,30,210,465,362,50,36,50.0,50.0,540,1261,36,22,6,32,32,658,87,44,5,8,22,131,28,38,42.4,1
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-046,6,6,503.0,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0,3
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-039,11,6,579.0,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9,3
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-065,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,3
Adam Smith,eng ENG,Bournemouth,DF,33-352,20,15,1236.0,0,0,5,0,0.6,0.2,10,35,20,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,10.2,366,74.4,6031,86.1,78.0,34.9,5,35,5,2,35,15,1.09,1,0.07,20,10,22,11,10,3,7,14,609,33,198,284,131,3,13,38.5,38.5,256,452,10,13,0,10,5,274,20,13,9,0,25,40,12,12,50.0,3
Adam Webster,eng ENG,Brighton,DF,30-102,11,8,617.0,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,7934,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0,3
Adam Lallana,eng ENG,Southampton,MF,36-341,14,5,361.0,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.0,0.00,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0,3
Adam Wharton,eng ENG,Crystal Palace,MF,20-318,16,13,1088.0,0,1,2,0,0.3,2.8,11,100,10,0.0,0.08,0.02,0.23,N/a,N/a,N/a,N/a,50.0,0.41,0.00,25.0,469,77.1,8908,83.3,81.8,67.4,23,68,17,5,100,52,4.31,5,0.41,33,14,39,23,10,2,8,16,729,24,172,386,174,8,9,22.2,77.8,358,829,11,16,2,13,12,453,10,10,18,0,29,81,7,15,31.8,3
Adama Traoré,es ESP,Fulham,"FW,MF",29-081,30,16,1516.0,2,5,2,0,3.8,4.1,80,57,138,0.12,0.3,0.22,0.24,N/a,N/a,N/a,N/a,31.4,0.65,0.06,14.3,365,71.7,5688,81.1,73.2,54.3,32,32,27,14,57,66,3.92,8,0.47,17,12,13,8,6,0,6,1,697,2,71,253,393,83,85,49.4,37.6,467,2106,80,39,32,30,19,531,138,20,29,1,84,74,24,25,49.0,2
Albert Grønbaek,dk DEN,Southampton,"FW,MF",23-328,4,2,143.0,0,0,0,0,0.1,0.0,1,1,3,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,22.4,13,72.2,135,81.8,50.0,N/a,1,2,0,0,1,2,1.26,0,0.0,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0,3
Alejandro Garnacho,ar ARG,Manchester Utd,"MF,FW",20-289,31,20,1876.0,5,1,2,0,6.2,2.8,122,47,249,0.24,0.05,0.3,0.13,N/a,N/a,N/a,N/a,37.5,1.3,0.07,16.9,539,79.4,7606,89.3,82.1,59.1,26,19,21,3,47,64,3.07,4,0.19,27,17,29,19,16,0,16,10,967,13,113,313,557,141,76,28.9,61.8,702,2758,122,62,58,51,41,736,249,9,36,9,42,100,3,22,12.0,2
Alex Scott,eng ENG,Bournemouth,MF,21-238,15,5,567.0,0,0,1,0,0.6,0.8,10,47,26,0.0,0.0,0.1,0.13,N/a,N/a,N/a,N/a,41.7,0.79,0.00,19.6,219,84.9,3549,89.5,90.8,65.2,9,35,4,0,47,25,3.96,2,0.32,24,11,31,15,13,2,11,9,375,15,67,203,110,15,23,21.7,47.8,206,494,10,5,1,19,7,233,26,7,22,0,2,41,4,6,40.0,3
Alex Palmer,eng ENG,Ipswich Town,GK,28-249,8,8,720.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.25,63.3,0.0,63.3,N/a,0.0,N/a,N/a,166,68.9,4921,93.9,100.0,44.7,1,3,0,0,1,2,0.25,0,0.0,0,0,0,0,0,0,0,0,276,232,272,4,0,0,0,N/a,N/a,123,461,0,0,0,1,0,86,0,1,1,0,0,13,3,0,100.0,0
Alex McCarthy,eng ENG,Southampton,GK,35-134,5,5,450.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.60,70.3,0.0,70.3,N/a,0.0,N/a,N/a,117,75.0,2823,95.3,91.8,49.2,0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,N/a,N/a,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0,0
Alex Iwobi,ng NGA,Fulham,"FW,MF",28-348,32,30,2553.0,8,5,1,0,4.2,6.4,123,181,209,0.28,0.18,0.15,0.22,N/a,N/a,N/a,N/a,44.1,0.92,0.14,18.5,971,74.8,16770,86.0,78.3,55.3,52,100,74,15,181,111,3.91,15,0.53,37,21,28,11,23,1,22,11,1586,31,211,643,756,100,82,50.0,45.1,1120,3723,123,91,35,52,38,1232,209,15,16,4,104,119,5,28,15.2,2
Alexander Isak,se SWE,Newcastle Utd,FW,25-207,28,28,2265.0,20,6,1,0,16.6,4.0,74,73,180,0.79,0.24,0.66,0.16,N/a,N/a,N/a,N/a,44.0,1.31,0.24,14.4,425,73.4,6068,82.4,77.2,62.9,37,32,23,1,73,80,3.18,14,0.56,12,5,12,7,17,2,15,3,864,19,52,322,504,156,83,49.4,49.4,524,1672,74,39,40,57,48,610,180,24,12,19,14,50,23,44,34.3,2
Alexis Mac Allister,ar ARG,Liverpool,MF,26-113,31,28,2381.0,4,4,6,0,2.7,4.3,31,158,72,0.15,0.15,0.1,0.16,N/a,N/a,N/a,N/a,34.3,0.45,0.11,18.2,1165,83.5,18587,89.9,88.3,57.2,38,112,32,1,158,108,4.08,14,0.53,85,51,91,43,57,5,52,20,1702,50,257,892,569,55,39,38.5,51.3,834,1781,31,38,3,26,20,1132,72,58,38,2,70,132,18,31,36.7,1
Ali Al Hamadi,iq IRQ,Ipswich Town,FW,23-046,11,0,134.0,0,0,3,0,0.4,0.1,4,3,14,0.0,0.0,0.24,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.7,25,83.3,278,87.0,71.4,N/a,2,0,0,0,3,8,5.37,0,0.0,1,0,2,2,0,0,0,0,53,2,6,20,30,9,7,57.1,42.9,29,111,4,3,4,7,4,36,14,8,3,1,0,4,5,9,35.7,3
