stt,Player,Min,MarketValue
1,Aaron Ramsdale,2250.0,€18.7M
2,Aaron Wan-Bissaka,2704.0,€26.9M
3,Abdoulaye Doucouré,2335.0,€5.8M
4,Adam Armstrong,1248.0,N/A
5,Adam Smith,1319.0,€1.5M
6,Adam Wharton,1258.0,€48.9M
7,Adama Traoré,1523.0,€8M
8,Alejandro Garnacho,1966.0,€60.7M
9,Alex Iwobi,2636.0,€30.3M
10,Alexander Isak,2411.0,€120.3M
11,Alexis Mac Allister,2471.0,€106.1M
12,Alisson,2058.0,€24.1M
13,Alphonse Areola,1900.0,€11.8M
14,Amad Diallo,1594.0,€48.5M
15,Amadou Onana,1348.0,€62.1M
16,Andreas Pereira,1834.0,€19M
17,Andrew Robertson,2218.0,€24M
18,André Onana,2880.0,N/A
19,André,2087.0,€29.8M
20,Anthony Gordon,2176.0,€49.5M
21,Anthony Elanga,2052.0,€45.5M
22,Antoine Semenyo,2823.0,€47.7M
23,Antonee Robinson,2899.0,€46.4M
24,Archie Gray,1346.0,N/A
25,Arijanet Muric,1620.0,€10.1M
26,Ashley Young,1586.0,€1.3M
27,Axel Tuanzebe,1445.0,€4.2M
28,Bart Verbruggen,2790.0,€30.7M
29,Ben Johnson,1312.0,€12.6M
30,Ben Davies,946.0,€5.6M
31,Bernardo Silva,2311.0,€50M
32,Bernd Leno,2970.0,€13.7M
33,Beto,1129.0,€24.4M
34,Bilal El Khannouss,1838.0,€40.6M
35,Boubacar Kamara,1373.0,€46.3M
36,Boubakary Soumaré,1908.0,€15.4M
37,Brennan Johnson,1993.0,€71.3M
38,Bruno Fernandes,2668.0,N/A
39,Bruno Guimarães,2822.0,€83.2M
40,Bryan Mbeumo,2964.0,N/A
41,Bukayo Saka,1454.0,€101.3M
42,Caleb Okoli,1124.0,€16.7M
43,Callum Hudson-Odoi,2107.0,€30.2M
44,Calvin Bassey,2714.0,€29.9M
45,Cameron Burgess,1271.0,€1.7M
46,Cameron Archer,1336.0,€18.6M
47,Carlos Baleba,2223.0,N/A
48,Carlos Soler,1347.0,€23.4M
49,Casemiro,1271.0,€11.6M
50,Chris Wood,2509.0,€7.8M
51,Chris Richards,1562.0,€15.7M
52,Christian Eriksen,993.0,€4.2M
53,Christian Nørgaard,2369.0,€14.4M
54,Christopher Nkunku,921.0,N/A
55,Cody Gakpo,1560.0,€67.5M
56,Cole Palmer,2742.0,€115.4M
57,Conor Coady,1264.0,€2.2M
58,Craig Dawson,971.0,€1.5M
59,Cristian Romero,1416.0,€60.1M
60,Curtis Jones,1415.0,€61.7M
61,Daichi Kamada,1338.0,€14.6M
62,Dan Burn,2880.0,€9.1M
63,Dango Ouattara,1843.0,€28.5M
64,Daniel Muñoz,2868.0,€30.9M
65,Danny Welbeck,1762.0,€6M
66,Dara O'Shea,2672.0,€19.5M
67,Darwin Núñez,1010.0,€60.9M
68,David Raya,3060.0,€28.9M
69,Dean Henderson,3060.0,€22.7M
70,Dean Huijsen,2054.0,N/A
71,Declan Rice,2572.0,€107.8M
72,Dejan Kulusevski,2236.0,€60.5M
73,Destiny Udogie,1744.0,N/A
74,Diogo Jota,1074.0,N/A
75,Diogo Dalot,2788.0,N/A
76,Djed Spence,1424.0,€19.8M
77,Dominic Calvert-Lewin,1574.0,€17.8M
78,Dominic Solanke,2052.0,N/A
79,Dominik Szoboszlai,2190.0,€71.4M
80,Dwight McNeil,1157.0,€27M
81,Eberechi Eze,2337.0,€62.2M
82,Ederson,1960.0,€19.1M
83,Edson Álvarez,1633.0,N/A
84,Elliot Anderson,2317.0,€46.5M
85,Emerson Palmieri,1930.0,€12.6M
86,Emile Smith Rowe,1827.0,€40.8M
87,Emiliano Martínez,2880.0,€17.5M
88,Emmanuel Agbadou,960.0,€18M
89,Enzo Fernández,2500.0,€73.7M
90,Erling Haaland,2480.0,€198.8M
91,Ethan Pinnock,1913.0,€7.6M
92,Evanilson,1903.0,€26.9M
93,Ezri Konsa,2576.0,€42.7M
94,Fabian Schär,2493.0,€11M
95,Facundo Buonanotte,1429.0,€30.7M
96,Flynn Downes,1701.0,€9.2M
97,Gabriel Magalhães,2363.0,€75.5M
98,Gabriel Martinelli,1956.0,€62.6M
99,Georginio Rutter,1656.0,€41.3M
100,Guglielmo Vicario,1890.0,€41.6M
101,Guido Rodríguez,1018.0,€13.6M
102,Harry Maguire,1418.0,€13.7M
103,Harry Winks,1538.0,€11.4M
104,Harvey Barnes,1337.0,€41.5M
105,Ibrahima Konaté,2230.0,N/A
106,Idrissa Gana Gueye,2615.0,N/A
107,Igor,903.0,N/A
108,Iliman Ndiaye,2117.0,€25.7M
109,Illia Zabarnyi,2662.0,N/A
110,Ismaila Sarr,2392.0,€25.7M
111,Issa Diop,1339.0,€17.9M
112,Jack Clarke,994.0,€19.4M
113,Jack Hinshelwood,1595.0,€9.2M
114,Jack Stephens,1074.0,€1.4M
115,Jack Harrison,1825.0,€17.7M
116,Jacob Ramsey,1485.0,€45.8M
117,Jacob Murphy,2018.0,€17.9M
118,Jacob Greaves,1755.0,€25.1M
119,Jadon Sancho,1655.0,€37.7M
120,Jake O'Brien,1211.0,€19.7M
121,James Garner,1144.0,€23.2M
122,James Maddison,1764.0,N/A
123,James Tarkowski,2922.0,€11.8M
124,James Justin,2534.0,€17M
125,Jamie Vardy,2481.0,€1M
126,Jan Paul van Hecke,2598.0,€42.4M
127,Jan Bednarek,2261.0,€12.9M
128,Jannik Vestergaard,1391.0,€2M
129,Jarrad Branthwaite,2168.0,N/A
130,Jarrod Bowen,2541.0,€48.1M
131,Jean-Clair Todibo,1395.0,N/A
132,Jean-Philippe Mateta,2442.0,€31.7M
133,Jean-Ricner Bellegarde,1479.0,€21.3M
134,Jefferson Lerma,2030.0,€13.6M
135,Jens Cajuste,1774.0,€15.5M
136,Jeremy Doku,1307.0,N/A
137,Jesper Lindstrøm,1239.0,€24.4M
